國文,英文,數學,社會,自然
15,11,12,11,9
10,14,6,11,11
6,7,13,9,9
6,10,11,10,7
8,8,8,14,7
15,15,15,13,13
15,10,9,11,6
8,13,15,7,13
7,14,8,7,8
14,12,7,15,13
8,13,6,7,13
15,15,11,13,15
7,10,8,13,13
14,11,7,8,13
15,12,12,8,10
9,6,11,13,12
10,13,13,8,7
15,6,15,10,6
11,10,15,15,15
9,6,15,7,6
12,15,11,13,13
10,13,10,15,14
8,11,14,11,10
10,13,9,12,9
7,13,7,7,8
6,9,8,7,15
6,8,10,10,13
13,10,13,10,12
8,14,12,6,7
14,13,9,8,13
8,6,15,11,10
8,11,14,9,14
9,15,14,15,13
12,12,6,15,14
10,12,15,8,15
13,15,12,14,9
9,6,9,15,6
7,8,9,13,7
6,15,11,11,13
6,12,15,14,13
13,7,12,8,7
8,12,11,14,7
12,6,14,6,15
8,9,8,13,6
12,14,15,10,8
13,6,11,8,12
15,6,6,6,13
14,8,6,6,7
6,9,12,8,12
14,15,15,9,6
10,10,6,6,15
8,12,7,8,12
12,12,9,12,12
9,9,6,6,9
7,6,7,9,12
9,8,6,8,10
6,13,9,13,8
14,10,15,12,10
6,10,15,14,12
6,8,12,6,10
11,8,10,11,7
9,14,15,9,13
13,7,7,13,6
10,8,14,6,9
7,11,7,14,10
8,8,7,8,14
7,15,6,15,9
15,8,15,15,10
13,8,15,15,10
12,6,8,10,8
14,13,12,8,7
8,13,11,8,13
10,15,8,13,15
15,12,8,14,7
13,7,14,13,10
15,10,6,8,10
12,14,8,9,12
14,8,10,12,15
7,8,13,14,11
14,9,7,9,10
12,7,13,9,12
13,10,9,12,6
13,8,10,12,15
13,13,15,13,6
11,7,6,10,7
10,6,8,12,8
12,8,9,11,8
7,6,12,9,8
9,6,9,8,12
8,7,15,8,15
13,15,14,9,14
8,7,13,7,9
7,9,12,7,11
6,10,6,15,12
8,10,11,11,12
9,12,7,9,12
10,13,6,9,12
10,10,15,12,10
6,12,10,7,6
14,9,6,9,8
